tradingsymbol,exchange,quantity,average_price,last_price
AUBANK,NSE,114,653.196491,1033.05
BAJFINANCE,NSE,96,773.417708,961.8
BALKRISIND,BSE,25,2425.4,2254.6
BIRET-RR,NSE,1048,283.513463,321.91
CANTABIL,NSE,293,255.647269,227.19
DIXON,BSE,6,11215.666666,12523.2
EPIGRAL,NSE,50,857,1127.6
FCL,NSE,2710,22.287638,43.52
FORTIS,BSE,156,455.245512,962.95
HNDFDS,NSE,144,514.506944,545.4
INDIAMART,NSE,35,2051.942857,2089.4
INDIGRID-IV,NSE,2293,147.088028,174.14
INDNIPPON,NSE,83,729.120481,914.3
INDUSTOWER,NSE,175,345.113428,411.2
INTERARCH,NSE,30,2012.12,1900.1
KINGFA,NSE,19,3131.736842,5159.5
KSCL,NSE,83,732.239156,849.5
MARKSANS,NSE,417,179.169544,259.67
MON100,NSE,1273,190.765671,328.41
MOTILALOFS,BSE,92,653.326086,952
NXST-RR,NSE,2010,147.151174,155.6
PRICOLLTD,NSE,130,461.613461,559.15
SARDAEN,NSE,238,317.20168,523.65
SGBAUG28V,BSE,12,4658.666667,14610.52
SGBDE30III-GB,NSE,3,5834.333333,14746
SGBDE31III-GB,NSE,14,7565.964285,15100
SGBJAN29IX,BSE,5,4704.8,14700
SGBJAN29X,BSE,2,4731,14850
SGBJUN30-GB,NSE,5,5415.4,14826
SGBJUN31I-GB,NSE,5,7014.22,15040
SGBMAR31IV-GB,NSE,4,5823.005,14932.8
SGBN28VIII,BSE,15,4749.888,14631.5
SGBOC28VII-GB,NSE,17,4736.058824,14640
SGBSEP28VI-GB,NSE,6,4913.166666,14625
SGBSEP31II,BSE,12,6458.375,14969
SIKA,BSE,123,595.305691,1092.6
SILVERBEES,NSE,635,96.028173,221.6
SRF,NSE,23,2573.760869,2709.8
TAJGVK,NSE,219,274.72968,338.45
TI,BSE,173,357.328323,443.5
VBL,NSE,145,463.728965,529.5
WAAREERTL,NSE,71,849.295774,988.05
WELCORP,NSE,94,643.468085,1423.4
